"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"JS","1","","","","9/5/2018 2:50:32 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","9/5/2018 2:50:32 PM","9/5/2018 2:51:19 PM","","","3893_BD1-S-1.1","G:\63893\Building\3893_BD1.dwg","S-1.1","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"SH","1","","","","9/5/2018 2:51:19 PM","9/5/2018 2:51:40 PM","","","3893_BD1-S-1.2","G:\63893\Building\3893_BD1.dwg","S-1.2","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"SH","1","","","","9/5/2018 2:51:40 PM","9/5/2018 2:52:02 PM","","","3893_BD1-S-1.3","G:\63893\Building\3893_BD1.dwg","S-1.3","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"SH","1","","","","9/5/2018 2:52:02 PM","9/5/2018 2:52:23 PM","","","3893_BD1-S-1.4","G:\63893\Building\3893_BD1.dwg","S-1.4","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"JF","1","","","","","9/5/2018 2:52:24 PM","","","","","","","","","","","","Plotted with Warning(s)"
"JS","2","","","","9/5/2018 3:00:40 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","2","","","","9/5/2018 3:00:40 PM","9/5/2018 3:01:18 PM","","","3893_BD1-S-1.1","G:\63893\Building\3893_BD1.dwg","S-1.1","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Documents\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
